07/11/2023|11:53|13:51|Outdoor Picnic  |Computer Lab C Annex  
04/18/2023|11:22|13:21|Soccer Practice  |Science Building South  
05/14/2023|09:52|11:41|Basketball Practice  |Campus Fitness Center West  
03/25/2023|07:34|10:15|Campus Club Event E|Art Studio North  
03/27/2023|15:38|17:50|Dinner with Friends  |Campus Sports Court East  
03/07/2023|17:48|18:49|Club Meeting  |Lecture Hall B Downtown  
01/03/2023|13:04|16:41|English Literature Seminar  |Lecture Hall D Annex 5
08/31/2023|16:06|18:19|Art Workshop  |Clubroom West  
04/15/2023|07:11|08:42|Art Exhibition  |Clubroom Downtown  
05/21/2023|14:08|14:25|Group Project Meeting  |Campus Cafeteria West I
08/05/2023|13:04|16:54|English Literature Seminar  |Student Lounge East 1
05/23/2023|17:32|19:22|Group Project Meeting  |Art Gallery North  
09/16/2023|08:10|10:55|Physics Lab  |Computer Lab C West  
02/23/2023|15:05|17:19|Club Meeting  |Science Lab C East  
01/24/2023|20:49|22:54|Movie Night  |Campus Fitness Center Downtown  
03/07/2023|12:17|14:36|Math Lecture A|Art Studio West 6
09/03/2023|19:00|21:15|Lunch Break  |Science Building North  
04/03/2023|20:50|21:56|Outdoor Picnic 4|Science Lab A Downtown  
09/23/2023|11:17|12:35|History Lecture  |Science Lab A Annex H
01/16/2023|11:47|14:10|History Lecture  |Science Lab C North  
06/26/2023|19:23|22:17|Physics Lecture  |Student Center North E
01/30/2023|10:36|10:32|Chemistry Workshop  |Science Lab B North  
01/06/2023|20:47|22:47|Career Fair 1|Art Gallery North  
09/14/2023|07:53|10:30|Art Class  |Career Services Office West  
08/26/2023|16:53|19:44|Outdoor Picnic  |Science Lab C North  
05/07/2023|09:48|11:09|Outdoor Picnic  |Lecture Hall B Annex  
06/25/2023|11:41|12:39|Study Break  |Campus Cafeteria Downtown  
01/27/2023|14:01|14:04|Lunch Break 6|Campus Cafeteria East  
05/28/2023|09:00|12:58|Soccer Practice  |Rooftop Lounge Downtown  
01/02/2023|13:06|13:38|Chemistry Lab  |Science Lab B North  
07/02/2023|18:52|20:54|Guitar Practice  |Art Studio Downtown  
05/19/2023|19:07|21:25|Physics Lab 6|Library Study Room West  
06/19/2023|13:22|15:45|Group Project Meeting 3|Science Building Downtown  
04/12/2023|19:25|22:21|Campus Club Event  |Campus Coffee Shop Downtown  
01/26/2023|15:04|16:40|Biology Lecture  |Library Study Room East  
09/24/2023|06:09|06:51|Club Meeting  |Computer Lab C South  
01/09/2023|07:30|07:30|History Class L|Lecture Hall B East  
05/02/2023|11:07|12:41|Art Exhibition  |Career Services Office West  
08/16/2023|12:35|12:16|Career Fair  |Art Gallery South  
08/03/2023|06:04|08:21|Study Group  |Science Lab B South  
02/13/2023|16:12|19:53|Outdoor Picnic  |Campus Sports Field North J
08/23/2023|12:34|15:03|Lunch Break B|Library Study Room Downtown 6
07/27/2023|09:44|12:59|Theater Rehearsal  |Library Downtown  
08/17/2023|10:20|10:11|Career Fair  |Student Center Downtown  
09/26/2023|20:47|21:20|Physics Lab  |Classroom C North  
09/14/2023|13:18|16:05|Career Fair  |Library Study Room North  
09/11/2023|13:38|13:34|Outdoor Picnic 2|Lecture Hall D North  
02/18/2023|20:16|22:18|Soccer Practice  |Art Studio East  
08/03/2023|20:47|21:00|Physics Lecture  |Lecture Hall C North  
02/22/2023|18:40|19:33|Art Exhibition  |Music Room North  
09/30/2023|12:56|14:10|History Lecture  |Theater Hall Annex  
01/20/2023|07:45|07:26|Club Meeting  |Rooftop Lounge Downtown  
03/03/2023|17:02|19:39|History Class  |Student Lounge East I
08/21/2023|10:02|13:36|Lunch with Friends  |Science Building North  
05/06/2023|17:07|19:14|Theater Rehearsal  |Starting at Main Entrance West  
03/24/2023|08:55|10:06|Biology Lecture  |Science Lab C West  
09/13/2023|16:58|16:57|Networking Event  |Campus Sports Field Downtown  
01/12/2023|08:40|08:48|Study Group  |Campus Cafeteria Downtown  
07/06/2023|06:25|08:04|Chemistry Lab  |Library Annex  
07/27/2023|07:17|09:14|Study Break  |Science Lab A South  
06/20/2023|15:51|15:41|Student Council Meeting  |Classroom C South 1
05/18/2023|14:23|17:04|Study Group  |Student Lounge North  
09/04/2023|12:38|15:28|Guitar Practice  |Campus Sports Field South  
01/01/2023|09:49|10:05|Theater Rehearsal  |Lecture Hall B West  
03/06/2023|09:22|10:55|Art Exhibition  |Career Services Office West  
06/28/2023|08:52|11:13|Physics Lab  |Campus Sports Court Downtown 8
02/02/2023|07:30|08:03|Campus Club Event  |Campus Picnic Area East  
04/25/2023|11:35|14:59|Lunch Break  |Lecture Hall B South  
04/16/2023|19:43|22:06|Art Workshop  |Science Building North  
03/26/2023|15:03|18:03|Soccer Practice  |Science Lab C West  
06/19/2023|11:59|13:19|Coding Workshop  |Lecture Hall C West A
06/08/2023|20:20|21:09|Chemistry Lab 1|Theater Hall Annex D
09/16/2023|09:39|09:06|Literature Class  |Art Studio North  
07/29/2023|11:04|13:46|Career Fair  |Campus Cafeteria North  
04/30/2023|06:11|09:08|Student Council Meeting  |Campus Fitness Center West  
08/16/2023|06:38|09:48|Biology Lecture K|Lecture Hall B Downtown  
06/08/2023|06:16|09:26|Gym Workout  |Music Room North 1
08/08/2023|17:21|20:13|Dinner with Friends A|Campus Cafeteria West  
02/23/2023|13:38|15:35|Study Break  |Lecture Hall A Downtown  
04/10/2023|17:47|18:35|Student Council Meeting  |Classroom C Downtown  
04/16/2023|07:54|07:28|Chemistry Workshop  |Art Studio North J
04/26/2023|13:55|16:27|Literature Class  |Library Study Room West 5
06/12/2023|08:42|11:27|Art Class 1|Library North  
04/06/2023|08:33|11:20|Outdoor Picnic  |Computer Lab C West  
05/30/2023|13:08|15:51|English Literature Seminar  |Career Services Office East  
08/13/2023|06:54|09:52|Art Class  |Rooftop Lounge Annex  
04/07/2023|16:52|16:42|Soccer Practice L|Campus Sports Field Annex  
06/06/2023|19:11|19:09|Lunch with Friends  |Campus Cafeteria South  
09/10/2023|11:24|11:49|Dinner with Friends  |Theater Hall West  
09/20/2023|09:08|10:46|Physics Lab  |Campus Cafeteria South  
01/23/2023|09:40|09:06|Lunch with Friends  |Student Lounge Annex C
08/14/2023|19:19|21:48|Study Break  |Science Lab A Annex  
08/23/2023|12:24|15:38|Art Class  |Campus Cafeteria South  
07/17/2023|09:36|11:39|Study Break  |Classroom A North  
02/14/2023|13:57|16:57|Study Break  |Lecture Hall A East C
02/05/2023|06:21|06:01|Club Meeting D|Art Studio West C
07/27/2023|12:47|12:52|Student Council Meeting  |Campus Fitness Center North  
08/19/2023|10:05|13:32|Career Counseling  |Classroom A North 7
01/04/2023|12:52|12:10|Coding Workshop  |Campus Cafeteria West E
08/19/2023|11:05|12:27|Career Counseling  |Lecture Hall D Annex  
05/24/2023|08:16|11:29|English Literature Seminar  |Lecture Hall B East C
01/06/2023|16:30|19:58|Outdoor Picnic  |Lecture Hall C Annex  
08/20/2023|15:13|18:08|Group Project Meeting  |Student Center Annex  
02/09/2023|15:30|16:17|Dinner with Friends H|Computer Lab B Annex  
01/23/2023|12:00|12:59|Biology Lecture  |Art Gallery North  
06/06/2023|12:38|12:42|Soccer Practice  |Art Studio East  
09/03/2023|07:03|09:35|Physics Lab  |Campus Fitness Center North D
03/16/2023|16:37|18:06|Movie Night  |Computer Lab B Downtown 2
06/24/2023|19:07|22:35|Study Session  |Campus Sports Court South  
04/13/2023|14:21|16:11|Literature Class 3|Art Gallery Downtown  
03/05/2023|11:16|14:53|Theater Rehearsal 7|Science Lab A North  
08/14/2023|11:03|11:21|History Class  |Art Gallery North  
06/16/2023|12:08|14:32|History Lecture  |Music Room Annex  
04/16/2023|11:35|13:16|Lunch with Friends  |Campus Fitness Center North  
01/19/2023|09:05|12:51|Physics Lecture  |Campus Fitness Center Annex  
03/22/2023|10:47|10:04|Physics Lecture  |Campus Fitness Center East  
05/19/2023|15:56|15:55|Student Council Meeting  |Career Services Office West  
09/05/2023|18:13|20:22|Club Meeting F|Art Studio East  
03/28/2023|08:32|09:10|Dinner with Friends  |Science Building North  
02/04/2023|18:53|19:49|Lunch with Friends  |Library Study Room West  
06/06/2023|06:11|09:07|Math Lecture  |Computer Lab B Annex B
09/16/2023|18:20|19:17|Campus Tour J|Library Study Room South  
01/22/2023|17:44|18:40|Career Fair  |Lecture Hall B North  
09/06/2023|10:36|11:23|Basketball Practice  |Art Studio East  
07/19/2023|14:10|17:34|Art Class  |Art Studio South  
01/08/2023|10:06|10:12|Career Fair  |Lecture Hall D North  
02/17/2023|17:24|20:27|Coding Workshop  |Science Lab A South  
04/21/2023|18:50|18:30|Basketball Practice  |Campus Picnic Area North  
03/22/2023|12:04|14:12|Literature Class  |Library South  
06/18/2023|19:14|19:41|Outdoor Picnic  |Lecture Hall D North  
05/29/2023|11:57|11:13|Art Exhibition  |Classroom A Downtown I
04/28/2023|07:13|08:00|Lunch Break 6|Campus Cafeteria Annex  
05/13/2023|09:52|09:23|Literature Class  |Campus Cafeteria Annex  
03/21/2023|20:09|23:43|Lunch Break  |Library East  
08/07/2023|15:43|17:06|Guitar Practice  |Student Lounge East  
04/15/2023|12:01|13:42|Career Counseling  |Starting at Main Entrance North  
03/03/2023|07:19|10:17|Career Counseling  |Campus Cafeteria North 4
03/13/2023|06:47|07:04|Outdoor Picnic  |Starting at Main Entrance South  
07/14/2023|12:58|12:03|Career Counseling  |Lecture Hall B East  
01/21/2023|20:57|22:37|Soccer Practice  |Library North  
07/03/2023|15:34|16:34|Campus Tour  |Campus Cafeteria West  
02/21/2023|17:59|17:51|Physics Lab 2|Classroom A South  
08/16/2023|17:47|19:07|Dinner with Friends  |Classroom A South 3
09/19/2023|13:34|15:33|Outdoor Picnic  |Art Gallery West  
06/01/2023|18:13|18:17|Career Counseling  |Lecture Hall A South  
06/30/2023|13:42|14:40|Soccer Practice  |Starting at Main Entrance South  
04/04/2023|09:36|11:29|Movie Night  |Classroom A South  
02/20/2023|13:29|14:57|Study Group G|Lecture Hall D Downtown  
09/01/2023|16:48|17:10|English Literature Seminar I|Computer Lab C East A
07/07/2023|20:13|21:29|Coding Workshop  |Classroom A West  
07/03/2023|14:24|14:18|Student Council Meeting  |Student Center South  
01/30/2023|13:50|16:50|Lunch with Friends  |Student Center East  
03/24/2023|18:50|18:25|Campus Tour I|Science Lab B West  
04/12/2023|13:21|14:35|Career Counseling B|Lecture Hall B South  
09/23/2023|06:33|06:05|Soccer Practice  |Starting at Main Entrance West E
06/14/2023|19:14|20:20|Coding Workshop  |Library East K
09/21/2023|18:34|18:09|Basketball Practice 2|Library Annex  
04/06/2023|12:47|12:39|Lunch Break  |Campus Sports Field North  
09/23/2023|19:07|19:50|Physics Lecture  |Campus Cafeteria East  
09/12/2023|13:35|15:15|Lunch Break  |Campus Picnic Area East  
05/16/2023|10:49|12:14|Math Lecture  |Campus Cafeteria East  
09/18/2023|19:12|19:25|Dinner with Friends  |Theater Hall North  
07/27/2023|18:28|21:20|Biology Lecture  |Library East  
02/12/2023|06:58|08:17|Movie Night  |Student Center Downtown  
06/27/2023|11:17|13:45|Group Project Meeting 3|Art Studio East  
02/16/2023|16:08|17:51|Dinner with Friends  |Classroom A East  
06/15/2023|08:01|10:23|Dinner with Friends  |Lecture Hall C South  
07/21/2023|16:56|16:33|Networking Event I|Theater Hall South  
07/29/2023|16:20|16:40|Study Session  |Campus Sports Court North  
